epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,1.1332830376883547,0.4434104421470287,0.7586528652149824,0.7777401365045408,0.9154957610828404,0.9154354728329921,0.9376099824028156,0.6774436410497766,0.6201980185709229,0.6185230462178468,0.6455142231947484,0.7339639306746368,0.8691991381937949,0.8674292414880058,0.9315320847405588,0.7259780395642148,0.7556834887414747,0.7557246634385277,0.780035194368901,0.5861451484913994,0.5806297141232631,0.5959046552551591
2,0.00075,0.6576549384442368,0.46161318218756214,0.7133675494073217,0.8808037563472785,0.9062909148784275,0.9065273977193385,0.9316909294512878,0.809612927810517,0.5135837919671601,0.5120937549217204,0.5689277899343544,0.8400893069883684,0.9030163941183442,0.902821250809062,0.9564015965612527,0.754710324488322,0.7543975177119806,0.7554395275538668,0.7811550151975684,0.6155471451760887,0.6109051614754761,0.6318988961766118
3,0.00075,0.49658375004931793,0.48590313769121973,0.7600503918527046,0.9106029691523427,0.8992707429930094,0.8997298834358431,0.9323308270676691,0.8710041734685909,0.6265932148318591,0.6238574362472323,0.6695842450765864,0.8739473572889607,0.8889071739264173,0.8889473103229674,0.9521031624194044,0.7629300135972402,0.7600906347135709,0.7605348396225209,0.7891537354023356,0.6281639082694388,0.6251421589559085,0.6550951847704367
4,0.00075,0.42303632450936496,0.4161023827097655,0.7523662326034217,0.9279458529820288,0.9226375892551452,0.9229059656485838,0.9380899056151016,0.897918299010818,0.5805753702250932,0.5821754857569997,0.6323851203501094,0.9010122338555546,0.9164545841912359,0.9165759232230268,0.9585508136321769,0.7669910784547433,0.7601203874073663,0.7602908583474252,0.789793633018717,0.6755241783671952,0.6708231593164897,0.7066069428891377
5,0.00075,0.3548747453539897,0.4408403233423006,0.7706306207583986,0.9380121641779582,0.9221191278700545,0.9205709576843192,0.9385698288273876,0.9263358804092263,0.6363622940164455,0.6408490425817791,0.6783369803063457,0.916330025921938,0.8642715422617437,0.8663312589960788,0.9370586429229352,0.7723584038934004,0.7604708240152052,0.7612757544189038,0.7829147336426172,0.5922865376928981,0.5864487732810888,0.6058230683090705
6,0.00075,0.2984892292937181,0.48623197505777777,0.7718304844263619,0.9498056789674177,0.9259483578297923,0.9280535991553411,0.9440089585666294,0.9361239592377095,0.6368333976289259,0.6412490743259147,0.6827133479212254,0.9281653083109336,0.8580516584081093,0.8595833358704882,0.947497697267424,0.7746251995258415,0.7598271262387434,0.7591482085252462,0.7827547592385219,0.5065402700947745,0.5020725869731781,0.5077587585986242
7,0.00075,0.2847416337198609,0.4694879943204665,0.7381680890166934,0.9563238359329982,0.9310831911660749,0.9306149961423671,0.9521676531754919,0.9446913318559608,0.5842465762699843,0.5778061862550119,0.6411378555798687,0.9335341286475154,0.8253228902453462,0.8244970235775512,0.9419711390850476,0.7788045115001403,0.7530786152340767,0.7529625282259519,0.7728363461846105,0.5656432015239776,0.5608458247262711,0.5765477523596224
8,0.00075,0.2680924765913514,0.5269015342099744,0.7521432216166791,0.9613680718346753,0.9132807295706482,0.9150141997847911,0.9387298032314829,0.9442530287060463,0.6069309971811913,0.6080471538648805,0.6586433260393874,0.9369045192501696,0.8517533996806219,0.8516978232667844,0.947344181762358,0.7820274922650996,0.7620815462541632,0.7626306895202795,0.7837146056630939,0.629379082582976,0.6262854947482522,0.658454647256439
9,0.00075,0.22911986692634273,0.5676789117232356,0.74262138805427,0.9688960587838714,0.9117750463886304,0.9105983698341806,0.9393697008478643,0.9536502438494376,0.5777313557714359,0.5757959442154666,0.6520787746170679,0.9487725787100748,0.8934905437568333,0.8939246728055815,0.9548664415105925,0.78713145506575,0.7622488898762676,0.7624500128621875,0.7878739401695729,0.6645001874227442,0.6584325476022659,0.6925291953287473
10,0.000375,0.21566782822403602,0.5430904366516492,0.7487192158332773,0.9692936674421598,0.9264258292656823,0.9259935641065983,0.9440089585666294,0.958457571751133,0.5846126831196284,0.5783832180579644,0.6411378555798687,0.9539156809591207,0.891149152947707,0.889796014108503,0.9540988639852626,0.788745363808886,0.7713060545139683,0.7717929635893825,0.7955527115661494,0.7093560837694526,0.7060235878142072,0.7501199808030715
11,0.000375,0.15301674093948206,0.5318441922089027,0.7798107825661944,0.9837739551237769,0.9310768246753868,0.9319044069053724,0.9496080627099664,0.9776843948129998,0.6613758800020467,0.6582048931914608,0.6936542669584245,0.9697283320160872,0.8498110241925629,0.8486679739805152,0.947190666257292,0.8018351331891069,0.7671498073070924,0.7674706246134817,0.8054711246200608,0.6696358916193546,0.6640820513245391,0.7011678131498961
12,0.000375,0.14113472066288904,0.6519749034059528,0.7374696469621399,0.9840779040323344,0.9113089414633923,0.9102035728765953,0.939209726443769,0.9813250566328993,0.5980595395247068,0.5982497618009089,0.6345733041575492,0.9747747147393033,0.7981901473362537,0.8000745086435818,0.9412035615597175,0.8063562965232393,0.7526184550204236,0.7518500599221507,0.8030715085586306,0.6494156893478358,0.6456584044944438,0.6802111662134058
13,0.000375,0.13420447044380535,0.6636598307855149,0.7323897251360331,0.9875843150668536,0.915523730302147,0.9138974443300886,0.9369700847864342,0.9842778518845736,0.5659119220132705,0.5641285487888926,0.6564551422319475,0.9762363874535867,0.8570994496247032,0.8582619635286697,0.9485723058028861,0.8077870489248997,0.7543018869496076,0.7562335035270438,0.7979523276275796,0.629971265310044,0.6261341430887424,0.6536554151335786
14,0.000375,0.12755042603082764,0.608037804456782,0.7490657647041807,0.9877076199510902,0.9265672401058194,0.9261621526184315,0.9465685490321548,0.9863102173706402,0.5957025858816701,0.5960434304297308,0.6389496717724289,0.980758524925888,0.8535256347512167,0.8539046773255847,0.9490328523180841,0.8097574526816795,0.7494630448415938,0.7491187362643464,0.7947528395456727,0.6743130140335154,0.6697320984584784,0.7117261238201887
15,0.0001875,0.12261419275820061,0.6795720240724888,0.7471101395028704,0.9898399165152815,0.920293959114969,0.9209155307877144,0.93505039193729,0.9864873725639427,0.6113679296560677,0.612455548490867,0.6608315098468271,0.981304681679797,0.7907227232989731,0.7907073830236009,0.9387473134786614,0.8151432163248871,0.7641781189456851,0.7662437599212577,0.8081906894896816,0.6469138773583171,0.6401852999349056,0.6704527275635899
16,0.0001875,0.09484185624957656,0.6234060081033949,0.7443729476675685,0.9932980678087655,0.9258110704015845,0.926174264329958,0.9478483442649176,0.9933844268237225,0.5830875714729236,0.5819465234672476,0.6323851203501094,0.9865986783353561,0.8598765556549851,0.8610737563293315,0.9499539453484802,0.8253227941544057,0.7540395870633639,0.7548366935891986,0.8016317389217725,0.6609462937798389,0.655305059119885,0.690449528075508
