model,task,n_bootstrap,n_samples_mean,clean_acc_mean,clean_acc_std,clean_acc_ci95_low,clean_acc_ci95_high,masked_acc_mean,masked_acc_std,masked_acc_ci95_low,masked_acc_ci95_high,drop_acc_mean,drop_acc_std,drop_acc_ci95_low,drop_acc_ci95_high,clean_f1_macro_mean,clean_f1_macro_std,clean_f1_macro_ci95_low,clean_f1_macro_ci95_high,masked_f1_macro_mean,masked_f1_macro_std,masked_f1_macro_ci95_low,masked_f1_macro_ci95_high,drop_f1_macro_mean,drop_f1_macro_std,drop_f1_macro_ci95_low,drop_f1_macro_ci95_high,pdi_f1_macro_mean,pdi_f1_macro_std,pdi_f1_macro_ci95_low,pdi_f1_macro_ci95_high,clean_f1_weighted_mean,clean_f1_weighted_std,clean_f1_weighted_ci95_low,clean_f1_weighted_ci95_high,masked_f1_weighted_mean,masked_f1_weighted_std,masked_f1_weighted_ci95_low,masked_f1_weighted_ci95_high,drop_f1_weighted_mean,drop_f1_weighted_std,drop_f1_weighted_ci95_low,drop_f1_weighted_ci95_high,pdi_f1_weighted_mean,pdi_f1_weighted_std,pdi_f1_weighted_ci95_low,pdi_f1_weighted_ci95_high
v5_explicit_region_mask_gate_mediapipe,action,5000,5944.0,0.9210210632570659,0.0034799242017464504,0.9140309555854643,0.9276581426648721,0.9140157806191117,0.003596304208793258,0.9069650067294751,0.92092866756393,0.007005282637954233,0.0023117848736783587,0.0025235531628532426,0.011608344549125182,0.8838888763401869,0.006062424510862577,0.8718364496656679,0.8957036245127311,0.8792512758237071,0.006049170738536302,0.867016283631456,0.8909008125461033,0.004637600516479707,0.0034829200238006577,-0.002275165537825277,0.011548821598699067,0.5239191307931731,0.3930990067837474,-0.2599317996293422,1.3005472467350006,0.9225736321402488,0.0033854906652480195,0.9157545013501988,0.9289994837748814,0.915245290415984,0.0035253771476707585,0.908280766788886,0.9220750509424903,0.007328341724264965,0.002278991578876988,0.002922130893495831,0.011856665541893126,0.7940990399126407,0.24624793392599353,0.3175535958822699,1.2841468592108631
v5_explicit_region_mask_gate_mediapipe,gaze,5000,372.0,0.671717741935484,0.02443944482990614,0.6236559139784946,0.7178091397849453,0.5674053763440859,0.02520060308748694,0.5188172043010753,0.6182795698924731,0.10431236559139781,0.022408031911544404,0.05913978494623662,0.1478494623655915,0.6055541516311361,0.026251570186415264,0.5535923893446789,0.6557408250389781,0.5163396492674605,0.022967303380105133,0.4721903728027939,0.5608457972193819,0.08921450236367559,0.029171965192993716,0.031215768024295723,0.14620536048333024,14.621368334602424,4.4442425884683,5.390328437311144,22.937657786120162,0.6378512464092433,0.027371475348996845,0.5839593652285118,0.6915856571405934,0.512447971503209,0.028333126108565924,0.45896396060817823,0.5683789108336997,0.12540327490603426,0.026161089073599708,0.07337187093066849,0.1766831546067211,19.6185545705588,3.817451157935909,11.935105168394399,26.88259910869514
v5_explicit_region_mask_gate_mediapipe,hands,5000,6054.0,0.9264122893954408,0.0033754651306794996,0.9198876775685497,0.9329410307234886,0.9259047571853319,0.0033937258690234363,0.9192269573835481,0.9324454905847374,0.0005075322101090197,0.001503845323466898,-0.0024777006937561907,0.0034687809712586892,0.7059694583282516,0.007684256046202136,0.6920043154779092,0.7223845136062158,0.693681440607305,0.005390520187662428,0.6845986595760941,0.7057277290698639,0.012288017720946752,0.006388479617149443,0.0010872096353415352,0.025881719391808635,1.733716010277734,0.8881402599308104,0.15604121843574983,3.6175603304296,0.9356608007794645,0.0029457643564063216,0.929961172699099,0.9414126217599659,0.9338433962342049,0.003015647859220381,0.9279452065752601,0.9397474758537636,0.0018174045452595635,0.0012384004262680317,-0.0006190264222453695,0.004260359723079451,0.19417568479375774,0.13227046929322092,-0.06620310683546218,0.4535739676084626
v5_explicit_region_mask_gate_mediapipe,talk,5000,5944.0,0.7701512113055181,0.005476043341836846,0.7595895020188426,0.7812920592193809,0.7578564266487214,0.005559133328277498,0.746971736204576,0.7686742934051144,0.012294784656796773,0.0021454885263068857,0.008243606998654007,0.016487213997308237,0.743560902335056,0.00600099268923651,0.7318670887399573,0.7556152133483128,0.7308446015443398,0.0060499139781630224,0.7190483614339707,0.7425983247684605,0.012716300790716145,0.00222423166400786,0.008402351678726886,0.017097709604391043,1.7099070636533256,0.29719646610839145,1.1360146467630967,2.2941605347750325,0.782232185782437,0.005047534641839623,0.7724517014233734,0.792458794546071,0.7707748761244086,0.005132388049888286,0.7607446229348296,0.7807540800277687,0.011457309658028499,0.001997752813884215,0.007630310249756578,0.015416010980253837,1.4644997763060121,0.25412172897356483,0.9772944475306888,1.9689072568572206
v5_explicit_region_scalar_mask_gate_medipipe,action,5000,5944.0,0.9400495962314939,0.0030419917722492285,0.9340511440107672,0.9459959623149394,0.932467934051144,0.0032776374597150767,0.9259757738896366,0.9387617765814267,0.007581662180349933,0.0019146112513164955,0.004037685060565233,0.01144010767160164,0.9044510597270781,0.0061282250766248065,0.8923135995968772,0.9159756946462244,0.8910259748678531,0.0065690758160831956,0.8781092478782877,0.9036974972110544,0.013425084859224898,0.00370176008505471,0.006382732972951602,0.02093952418642472,1.483907461708272,0.40760721445901427,0.7038025575956925,2.309174283938815,0.9404412409464541,0.0030119565432311507,0.9344712228151898,0.946339540851108,0.9330193172581428,0.003232689326199764,0.9267066155284105,0.9392236676276076,0.007421923688311226,0.0018879868828843617,0.003842665617217794,0.011189415659142405,0.7890803970377219,0.20027262683810973,0.409046992388504,1.1865717368075686
v5_explicit_region_scalar_mask_gate_medipipe,gaze,5000,372.0,0.6078575268817203,0.025027156975219657,0.5591397849462365,0.6559139784946236,0.5024661290322581,0.02520578978895187,0.4543010752688172,0.5510752688172043,0.1053913978494624,0.01937404162822146,0.06720430107526887,0.14247311827956993,0.5198051572116699,0.024723355549425795,0.4705775401088443,0.5688415326570033,0.42902190790728384,0.022281551286267194,0.38485597230861757,0.4713009340702621,0.09078324930438604,0.022443881450733134,0.046755922202651866,0.13618180149349285,17.389608382315124,3.937573670493399,9.50797767046229,24.95501956290822,0.5540700054062998,0.027252029881010213,0.5009690332059962,0.6067720962351788,0.44671032104321273,0.02701947451187384,0.3945193560576311,0.5003141283110003,0.10735968436308703,0.019956874593441726,0.06885928009560338,0.14706497186474646,19.35647589367939,3.367790453224839,12.709074085750151,26.052192725629016
v5_explicit_region_scalar_mask_gate_medipipe,hands,5000,6054.0,0.9571353485298976,0.0026047616806393666,0.9519326065411299,0.9621737694086554,0.9536823587710606,0.0027153821078682145,0.9482986455236208,0.9588701684836471,0.0034529897588371286,0.0014469188151049477,0.0006607201850016287,0.00627684175751575,0.7222605889242805,0.00664278688545129,0.7126864142262598,0.7377769631068131,0.7110183615529457,0.002465672528883101,0.7061246293095121,0.7158471032873123,0.011242227371334788,0.006356195308397495,0.003014889577308799,0.02592043920168657,1.5492068113305018,0.8602313153462764,0.4206004711218501,3.5056730675969487,0.9606870412585417,0.002461079509896807,0.9557014426217667,0.9654404844108179,0.956384580047527,0.0026171916650897923,0.9512683192009204,0.9614476717933446,0.004302461211014644,0.001357675467072025,0.0017126858478963864,0.007023205619234921,0.4477985560546087,0.14115009728131078,0.1785167410698717,0.7306090619642464
v5_explicit_region_scalar_mask_gate_medipipe,talk,5000,5944.0,0.7831053162853298,0.005375971810800382,0.7727119784656796,0.7939140309555854,0.7749236877523553,0.005425069705896964,0.764300134589502,0.7856662180349933,0.00818162853297443,0.0026811125082185964,0.00302826379542398,0.013458950201884257,0.75424894180309,0.0059684448178371876,0.7426632964894495,0.7661301004553865,0.7467103167554165,0.0059991739405812735,0.7350367693475297,0.7585827466679154,0.007538625047673437,0.002899737854912237,0.0018949582263973724,0.013215705278994246,0.9988434003962495,0.3827334696030742,0.2523137407068213,1.746481827335696,0.7936863166326827,0.004987978145031386,0.7840701092880483,0.8037690137829987,0.7862992327229165,0.005018013431656496,0.7764831276661608,0.7962938366728706,0.007387083909766329,0.0025110714515736605,0.002504645767408631,0.012305998872024812,0.9302911359339094,0.31504599744203965,0.31624193405052914,1.5485592301782822
v5_no_occ_original_mediapipe_seed42,action,5000,5944.0,0.9153640309555855,0.0036404051688141968,0.9084791386271871,0.9226110363391655,0.8892468707940779,0.004069774218515651,0.881393001345895,0.8973755047106325,0.026117160161507398,0.002575898857180427,0.021197846567967638,0.03129205921938094,0.8656903389195184,0.006499648943124996,0.852786529656489,0.8784989722252227,0.8312823999079354,0.006842174969769406,0.817768768971657,0.844509213008314,0.03440793901158302,0.0035097983291450313,0.02763865510513115,0.041478030580319535,3.9743311281789824,0.40153623231432634,3.19832277986867,4.783685155658339,0.9175388222919232,0.003523151710422667,0.9107825929544462,0.9244728561167068,0.893486600707143,0.003864718025003078,0.8860511452758416,0.9012364371079321,0.024052221584780046,0.002434180395875499,0.019307510497431655,0.028992807034634766,2.621221227612399,0.26348942847010165,2.109675407957748,3.1545339596698465
v5_no_occ_original_mediapipe_seed42,gaze,5000,372.0,0.5940494623655914,0.024980725367966868,0.5456989247311828,0.6424731182795699,0.5617661290322581,0.02504883608027608,0.5134408602150538,0.6102150537634409,0.03228333333333335,0.019012374185670502,-0.005376344086021501,0.06989247311827962,0.5444086684743651,0.026540140759922507,0.490852993184516,0.59573972602756,0.5060619708243127,0.024945490679107552,0.45627122219875754,0.5550520526152056,0.03834669765005234,0.02286903069525043,-0.005263838358326995,0.08339096693634397,6.9581118276820195,4.0497202990081735,-1.0241175463360883,14.637989017485333,0.5689598460870924,0.026849124781966615,0.5170278097436662,0.6205558552481012,0.5287210603557035,0.02730510352668991,0.47419972947097033,0.5819035617673934,0.04023878573138878,0.02179308327966018,-0.002829669658556613,0.08240953804248402,7.018287349311521,3.727817905552885,-0.518895717967613,14.089035525214268
