epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,0.7142696568709267,0.22457477008755775,0.7013031810099926,0.7320086156562149,0.8585946733528225,0.8578443567623967,0.88865781474964,0.6685354013596467,0.526996048864357,0.5274217683015674,0.5864332603938731,0.6686995016263829,0.792989227071987,0.7932919741586335,0.8913110224132638,0.721934560017579,0.7649190811684637,0.7653765204655394,0.7933130699088146,0.6344802287612713,0.6312981156669787,0.6659734442489201
2,0.00075,0.4184504030397268,0.2182962291479075,0.7210881263746447,0.844315761991145,0.8881132022759316,0.8873797285444418,0.9166533354663254,0.8066168691221994,0.538623266349085,0.5380378004340718,0.6083150984682714,0.7553337042895177,0.8376407975283517,0.8385090737273916,0.908811789990789,0.7505057684057561,0.7543946827610493,0.7544956929588817,0.7784354503279475,0.6300567551503906,0.6253643822032755,0.6469364901615742
3,0.00075,0.31717191179410653,0.20132580005851375,0.7310838769843817,0.8792398812957561,0.9142455003503184,0.9156287594567502,0.934090545512718,0.861074004076348,0.5402962598116008,0.5334336080450792,0.5820568927789934,0.796372826126107,0.8205752479837364,0.8201221061792379,0.8977586736260362,0.7577764369729498,0.7594879814049291,0.7599941259919315,0.7827547592385219,0.6765318497224863,0.6713915399900369,0.710446328587426
4,0.00075,0.2895203711334347,0.20322498609127176,0.7619939695526313,0.8974686695218007,0.9166087871660209,0.919048814371276,0.9294512877939529,0.8806191957505547,0.5963891864859135,0.5975380973961776,0.6608315098468271,0.8202643635485931,0.8349351341680107,0.8338327947776092,0.9378262204482652,0.7602553909082614,0.7568219848116566,0.7567643903679349,0.7773156294992801,0.5598969585531819,0.5531359419845511,0.564709646456567
5,0.00075,0.23907197139793238,0.20130655762767777,0.7692380363231724,0.9122218439242061,0.9007061679038834,0.9023570500817347,0.9171332586786114,0.8958054322493645,0.6279890411181515,0.6263663633956094,0.6783369803063457,0.8397775604469383,0.8628776185658249,0.8619827701118372,0.947804728277556,0.7638193116743888,0.7636169308176565,0.764267235055513,0.789793633018717,0.613325705031788,0.6106598628101727,0.6403775395936651
6,0.00075,0.2096000272809771,0.18359581048310009,0.7879018297359895,0.922503445761544,0.9196739014522433,0.9205802901173609,0.9353703407454808,0.9204755225840047,0.6550604744691707,0.6498500004607077,0.6673960612691466,0.8524075517977827,0.8624970238254707,0.8631739694569931,0.9407430150445195,0.766858519049735,0.7607145565639755,0.7609900100601799,0.7840345544712846,0.6828766783514877,0.6784053353058602,0.7222844344904815
7,0.00075,0.1872514115743948,0.22713210093477246,0.7641832691745611,0.9291933763726097,0.9143112623947871,0.915725482904787,0.9305711086226204,0.9284323893786571,0.6072830331532174,0.607897993958621,0.649890590809628,0.8612311994657351,0.8155453402179683,0.8152747069878636,0.9183297513048818,0.7664232528914936,0.7561769807161153,0.7557793847326857,0.780035194368901,0.6791253790668059,0.6750134602227131,0.7142857142857143
8,0.00075,0.1617363695461047,0.2013551724887576,0.7709815044049625,0.9406743978143873,0.9128416479167849,0.9137933432323467,0.9328107502799552,0.9370593794549911,0.62085366864659,0.6185478244270954,0.6783369803063457,0.8705840708161379,0.8700172978530598,0.8694097205384359,0.947344181762358,0.7684070870183202,0.7590483344761756,0.7591498586258325,0.785154375299952,0.6139935815122437,0.6076821719584864,0.636698128299472
9,0.00075,0.1741583735968988,0.2154069839369089,0.756617308244202,0.9428702177770141,0.9354368874338633,0.9350567316371095,0.9436890097584386,0.9309558349326177,0.5700412336316861,0.5696979952971388,0.6630196936542669,0.8744879494880529,0.823705654357731,0.8239925012965403,0.9278477126189745,0.7699825200548049,0.7646917104019215,0.7655611211792648,0.7891537354023356,0.6269269848897298,0.6220768708951312,0.6486962086066229
10,0.00075,0.15593592030887102,0.1974832918904772,0.7986091110358848,0.9487401872509033,0.9217246160942033,0.9200423809251933,0.9358502639577667,0.9430073189580112,0.6765743721168263,0.6737505719271332,0.6936542669584245,0.8722863782235746,0.8661508988771354,0.8673308371523161,0.9404359840343874,0.7714324876143936,0.7604863995658528,0.760714807894443,0.7872340425531915,0.5693281850872063,0.5615845142215783,0.5831067029275316
11,0.00075,0.13527991720811777,0.2537030141843577,0.7317146778536042,0.9512507926064703,0.9184722397226412,0.9176983974283829,0.9307310830267157,0.9469456183564553,0.527808922022322,0.5300245962514325,0.6083150984682714,0.8906812697757795,0.8478153277916183,0.8468426627569128,0.9382867669634634,0.7712332276172944,0.7574524130432785,0.7579439511968341,0.7814749640057591,0.6732595269812718,0.6692207406098132,0.7061270196768517
12,0.00075,0.1365193093816599,0.20160267617714617,0.7975022542344541,0.9523926490969372,0.9271520449518117,0.9259744963945239,0.9403295472724365,0.9482433943879861,0.6614018054430333,0.6664529054214395,0.7177242888402626,0.8898446125779049,0.8601997218165804,0.8618116136470334,0.9436598096407737,0.7717580490913922,0.7566221561973028,0.7563868546983759,0.7798752199648056,0.6705775396533222,0.6656568320475384,0.7043673012318029
13,0.00075,0.10746818014886006,0.2850630109308098,0.7465092200861084,0.9587256172706847,0.9101494377887304,0.9109074801829887,0.9328107502799552,0.9626888122546959,0.5680457821433097,0.5724079920046502,0.6477024070021882,0.9036120101914642,0.821202064882067,0.8239927684501008,0.9396684065090574,0.7731361117491724,0.756615181704493,0.756352383583317,0.7803551431770916,0.6733218143290702,0.6681784233049208,0.704847224444089
14,0.000375,0.13020951614477302,0.22056192072779454,0.7604020200970827,0.9612931838412749,0.9209833877480379,0.9212686991698753,0.9361702127659575,0.9601012630009651,0.5782938213097922,0.5846982349399982,0.687089715536105,0.9039815860041884,0.8960756222181667,0.8957055726959227,0.9531777709548664,0.7732001678568675,0.7578894606702256,0.7586324222568677,0.7824348104303311,0.712934076822636,0.7094611484180782,0.7520396736522157
