model,head,clean_f1_macro,masked_f1_macro,drop_f1_macro,relative_drop_f1_macro,pdi_f1_percent,n_common_pairs
spatiotemporal,action,0.9124974960216113,0.8921200771696836,0.020377418851927787,0.022331479199418178,2.2331479199418176,5944
attention_bias,action,0.8870358290515832,0.8789956552851037,0.008040173766479475,0.009064091328842953,0.9064091328842953,5944
pose_guided,action,0.8759326053966358,0.8674516637367732,0.008480941659862573,0.009682185144851724,0.9682185144851724,5944
dfs,action,0.8695544105741746,0.8588742294747065,0.010680181099468111,0.012282360907600815,1.2282360907600816,5945
hgnet_task_region_scalar_gated_late,action,0.8649980278370228,0.8551258265547397,0.009872201282283166,0.011412975480382507,1.1412975480382508,5944
dmd_original,action,0.8702540463724648,0.8532575911754258,0.016996455197039073,0.01953045236375111,1.953045236375111,5945
task_gated_late,action,0.8571146777912934,0.8487550190897217,0.008359658701571626,0.009753255798994958,0.9753255798994958,5944
hgnet_task_gated_late,action,0.8608924256235692,0.8467331519635408,0.014159273660028338,0.016447204364438875,1.6447204364438874,5944
task_region_scalar_gated_late,action,0.8682805811050137,0.8463721732472679,0.021908407857745837,0.025231944989330745,2.5231944989330746,5944
hgnet_explicit_region_scalar_mask_gate,action,0.8557637941304581,0.84590658442794,0.009857209702518133,0.011518610357352226,1.1518610357352226,5944
skateformer,action,0.8442466877282526,0.8254766908283689,0.01876999689988368,0.022232834517113786,2.2232834517113784,5944
NoOcc,action,0.8654280367746917,0.8221559802436076,0.043272056531084124,0.050000756495423904,5.00007564954239,5944
DriveAct,action,0.8318042384399564,0.8221542548817035,0.009649983558252972,0.011601267596750234,1.1601267596750235,5945
hgnet_explicit_region_scalar_mask_gate,gaze,0.6452517074359467,0.5851258700658954,0.06012583737005128,0.09318198879159091,9.318198879159091,372
task_region_scalar_gated_late,gaze,0.5573838746228161,0.5563980172467689,0.0009858573760472833,0.0017687224566990153,0.17687224566990153,372
hgnet_task_region_scalar_gated_late,gaze,0.6667486949473301,0.5552635963478341,0.11148509859949607,0.1672070743360103,16.720707433601028,372
task_gated_late,gaze,0.6246268089885364,0.5383333789129,0.08629343007563639,0.13815197944412935,13.815197944412935,372
DriveAct,gaze,0.5303216369043754,0.5222939771149834,0.008027659789392017,0.015137341625832097,1.5137341625832097,372
attention_bias,gaze,0.5192138522562753,0.5107398876372753,0.008473964618999963,0.016320759899174177,1.6320759899174178,372
NoOcc,gaze,0.504848149816127,0.4887379465189052,0.016110203297221848,0.03191098809233908,3.191098809233908,372
pose_guided,gaze,0.49856738290950403,0.48414671710049917,0.014420665809004862,0.02892420624239349,2.892420624239349,372
spatiotemporal,gaze,0.5507876676442766,0.4721182705322706,0.07866939711200593,0.14283071632390681,14.283071632390682,372
dfs,gaze,0.511152258586183,0.4632276568549261,0.047924601731256844,0.09375797705328245,9.375797705328246,372
hgnet_task_gated_late,gaze,0.49025802330576773,0.45452412878546844,0.03573389452029929,0.07288793415220154,7.288793415220154,372
skateformer,gaze,0.5518505323475471,0.4391074763851443,0.1127430559624028,0.204299985872622,20.429998587262197,372
dmd_original,gaze,0.4645618535324375,0.3996355569497442,0.06492629658269333,0.13975813142858473,13.975813142858474,372
pose_guided,hands,0.7260599461720297,0.7224899668206202,0.003569979351409569,0.004916920937770216,0.49169209377702155,6054
spatiotemporal,hands,0.7179621190016644,0.7118947704205574,0.006067348581107024,0.008450792069007415,0.8450792069007415,6054
skateformer,hands,0.7149241425660264,0.7094847775008384,0.005439365065188051,0.0076083107861834465,0.7608310786183446,6054
hgnet_task_gated_late,hands,0.7065109831752985,0.7051534990329493,0.0013574841423491524,0.001921391421614086,0.1921391421614086,6054
NoOcc,hands,0.7053261272497856,0.7050526239945355,0.0002735032552501071,0.0003877685012414805,0.03877685012414805,6054
attention_bias,hands,0.7016980447192008,0.7006489453233368,0.0010490993958640615,0.0014950866740463566,0.14950866740463564,6054
hgnet_task_region_scalar_gated_late,hands,0.7020138672170838,0.6994454769107984,0.0025683903062854174,0.003658603378401917,0.3658603378401917,6054
hgnet_explicit_region_scalar_mask_gate,hands,0.7009865237313418,0.698658066451257,0.0023284572800847947,0.003321686225421921,0.3321686225421921,6054
task_gated_late,hands,0.6988730211794839,0.6983378630685446,0.0005351581109392933,0.00076574441239141,0.076574441239141,6054
dmd_original,hands,0.7151731478111965,0.6971668871209055,0.018006260690290987,0.025177484285308464,2.5177484285308465,6133
task_region_scalar_gated_late,hands,0.6930021993070317,0.6908944944628925,0.0021077048441391355,0.003041411479280639,0.3041411479280639,6054
dfs,hands,0.6925734794881743,0.6888861891193192,0.0036872903688550673,0.005324042109697947,0.5324042109697947,6133
DriveAct,hands,0.6874529740604848,0.6876271714511947,-0.00017419739070989593,-0.0002533953554393516,-0.025339535543935164,6133
hgnet_task_gated_late,talk,0.7564219691535918,0.755246663693816,0.0011753054597758439,0.0015537695991180256,0.15537695991180256,5944
spatiotemporal,talk,0.7573517822722354,0.7501906993098981,0.007161082962337306,0.009455424982103236,0.9455424982103235,5944
pose_guided,talk,0.75480248765066,0.7489773035296239,0.005825184121036164,0.007717494598046679,0.7717494598046679,5944
hgnet_explicit_region_scalar_mask_gate,talk,0.7568239386515245,0.7474981067100868,0.009325831941437768,0.012322326851941448,1.2322326851941448,5944
attention_bias,talk,0.7550197426272676,0.7462247565579565,0.008794986069311062,0.011648683567805596,1.1648683567805596,5944
NoOcc,talk,0.7500188582121547,0.7444325139419886,0.0055863442701661326,0.007448271745436495,0.7448271745436494,5944
hgnet_task_region_scalar_gated_late,talk,0.7526666363189307,0.7429768270330643,0.00968980928586638,0.012873972112350248,1.2873972112350247,5944
dfs,talk,0.742058758510036,0.7425060955591225,-0.00044733704908650473,-0.0006028323821481513,-0.060283238214815134,5945
task_region_scalar_gated_late,talk,0.749275720164609,0.7413273501842834,0.007948369980325554,0.01060807092291656,1.060807092291656,5944
task_gated_late,talk,0.7373949840918406,0.7405977172232272,-0.003202733131386637,-0.004343307454594436,-0.4343307454594436,5944
skateformer,talk,0.7529476812278296,0.7394666438457247,0.013481037382104932,0.01790434809510462,1.7904348095104619,5944
DriveAct,talk,0.7420702287785776,0.7353114743946993,0.006758754383878296,0.00910797135064019,0.9107971350640189,5945
dmd_original,talk,0.7512501077685846,0.7264469226047098,0.024803185163874808,0.033015882337171246,3.3015882337171245,5945
