model,condition,head,n,accuracy,f1_macro,f1_weighted,n_prob_cols
spatiotemporal,test_clean,action,9424,0.9446095076400679,0.9117879050998845,0.9454556002583666,11
attention_bias,test_clean,action,9424,0.9238115449915111,0.895794268660391,0.9256825599608631,11
pose_guided,test_clean,action,9424,0.9193548387096774,0.8851130299070049,0.919645921744412,11
task_region_scalar_gated_late,test_clean,action,9424,0.9145797962648556,0.8798586468969284,0.9152090710923146,11
dmd_original,test_clean,action,9417,0.9196134650100881,0.8775087228744577,0.9199913623737919,11
NoOcc,test_clean,action,9424,0.9160653650254669,0.8716782164900215,0.9183127998429048,11
dfs,test_clean,action,9417,0.8993309971328448,0.8695759554637223,0.8995479688794646,11
task_gated_late,test_clean,action,9424,0.905560271646859,0.8689520817456331,0.9061924005084177,11
hgnet_task_gated_late,test_clean,action,9424,0.9138370118845501,0.8676396868137669,0.9159412939048514,11
hgnet_task_region_scalar_gated_late,test_clean,action,9424,0.9071519524617997,0.8620685389924002,0.9101656465347615,11
skateformer,test_clean,action,9424,0.9073641765704584,0.8575340096669493,0.9099280047320355,11
hgnet_explicit_region_scalar_mask_gate,test_clean,action,9424,0.9015280135823429,0.8531479682152809,0.9049627956299674,11
DriveAct,test_clean,action,9417,0.8916852500796432,0.8355658251610497,0.8949711833818009,11
spatiotemporal,test_masked,action,5949,0.9336022860985039,0.892203652840568,0.9351070879537356,11
attention_bias,test_masked,action,5949,0.9130946377542444,0.8790751599043829,0.9169772612740695,11
pose_guided,test_masked,action,5949,0.9040174819297361,0.86755103241649,0.9060792918132458,11
dfs,test_masked,action,5950,0.8991596638655462,0.8590332231009317,0.8995773014100684,11
hgnet_task_region_scalar_gated_late,test_masked,action,5949,0.9043536728861994,0.855248046468055,0.9073381675698624,11
dmd_original,test_masked,action,5950,0.9036974789915967,0.8534034298310407,0.9046266212278627,11
task_gated_late,test_masked,action,5949,0.8915784165405951,0.8489246854535715,0.8941183508435071,11
hgnet_task_gated_late,test_masked,action,5949,0.8964531854093125,0.8468730967310868,0.8997820750711122,11
task_region_scalar_gated_late,test_masked,action,5949,0.8909060346276685,0.8465086963475692,0.8933272193820354,11
hgnet_explicit_region_scalar_mask_gate,test_masked,action,5949,0.895780803496386,0.8460484754255053,0.8993263313476512,11
skateformer,test_masked,action,5949,0.877290300890906,0.8256149635470589,0.8837317924978821,11
NoOcc,test_masked,action,5949,0.8794755421079173,0.8223176076612301,0.8869468987264191,11
DriveAct,test_masked,action,5950,0.8810084033613446,0.8222897858213916,0.8875678453421815,11
hgnet_explicit_region_scalar_mask_gate,test_clean,gaze,514,0.6614785992217899,0.6355214763902555,0.6388418462441692,9
hgnet_task_region_scalar_gated_late,test_clean,gaze,514,0.6634241245136187,0.6338918379766503,0.6312044973887192,9
task_gated_late,test_clean,gaze,514,0.6517509727626459,0.6234077900385014,0.6325291699444031,9
DriveAct,test_clean,gaze,514,0.632295719844358,0.6051503411765375,0.6260306146925809,9
skateformer,test_clean,gaze,514,0.6167315175097277,0.5928072740583427,0.5913929762191582,9
spatiotemporal,test_clean,gaze,514,0.6245136186770428,0.5788381552160646,0.5952676565369619,9
attention_bias,test_clean,gaze,514,0.6361867704280155,0.5776694710881828,0.6033634040072741,9
task_region_scalar_gated_late,test_clean,gaze,514,0.6050583657587548,0.5768945539145272,0.5767768900423994,9
dfs,test_clean,gaze,514,0.6011673151750972,0.5705879452123874,0.5919199020537833,9
NoOcc,test_clean,gaze,514,0.6206225680933852,0.5657873054283554,0.5938094157368888,9
hgnet_task_gated_late,test_clean,gaze,514,0.5992217898832685,0.563505636228573,0.5798881073116626,9
pose_guided,test_clean,gaze,514,0.5408560311284046,0.5242103866949485,0.5180822292156854,9
dmd_original,test_clean,gaze,514,0.5544747081712063,0.5205436536525967,0.5438461987772202,9
hgnet_explicit_region_scalar_mask_gate,test_masked,gaze,374,0.6256684491978609,0.5830756612216637,0.5932396851506756,9
task_region_scalar_gated_late,test_masked,gaze,374,0.5855614973262032,0.5549557799349665,0.5538754535753104,9
hgnet_task_region_scalar_gated_late,test_masked,gaze,374,0.6042780748663101,0.5539549385244137,0.5614263665885688,9
task_gated_late,test_masked,gaze,374,0.56951871657754,0.5367181660044092,0.5373942758935484,9
DriveAct,test_masked,gaze,374,0.5508021390374331,0.5262407810617873,0.538368695155303,9
attention_bias,test_masked,gaze,374,0.5614973262032086,0.5099224875570906,0.5234633680449241,9
NoOcc,test_masked,gaze,374,0.5855614973262032,0.4868227850902398,0.5576277145906191,9
pose_guided,test_masked,gaze,374,0.5294117647058824,0.48282156839026474,0.4807079247185085,9
spatiotemporal,test_masked,gaze,374,0.5080213903743316,0.4685246108461739,0.4664376800639105,9
dfs,test_masked,gaze,374,0.5026737967914439,0.46167553842301234,0.4811094300690076,9
hgnet_task_gated_late,test_masked,gaze,374,0.5508021390374331,0.45252429716507375,0.5109109306909493,9
skateformer,test_masked,gaze,374,0.516042780748663,0.43846645074411866,0.457413310116096,9
dmd_original,test_masked,gaze,374,0.4625668449197861,0.3984857716714212,0.4478175944692235,9
skateformer,test_clean,hands,9558,0.944967566436493,0.7307731803085625,0.9518200871657784,4
spatiotemporal,test_clean,hands,9558,0.9467461812094581,0.7296784507364964,0.9527861836694597,4
dmd_original,test_clean,hands,9643,0.933941719381935,0.7181654185052888,0.9378990821276348,4
pose_guided,test_clean,hands,9558,0.9412010880937435,0.7157244652834103,0.9464443370192842,4
hgnet_task_region_scalar_gated_late,test_clean,hands,9558,0.9388993513287298,0.7099958942720545,0.9453611451776724,4
hgnet_task_gated_late,test_clean,hands,9558,0.9403640929064658,0.7099456992786364,0.9474202239154573,4
attention_bias,test_clean,hands,9558,0.9329357606193764,0.7090955329131182,0.9426068891073042,4
NoOcc,test_clean,hands,9558,0.9263444235195648,0.7057504770752703,0.9424941998987685,4
hgnet_explicit_region_scalar_mask_gate,test_clean,hands,9558,0.9326218874241473,0.7041309106028504,0.9427268062898052,4
task_gated_late,test_clean,hands,9558,0.9120108809374347,0.6996833089840905,0.9347572734866737,4
dfs,test_clean,hands,9643,0.9040754951778492,0.6889232767847796,0.9207215492277894,4
task_region_scalar_gated_late,test_clean,hands,9558,0.9063611634233103,0.6879281298006068,0.9253002792635229,4
DriveAct,test_clean,hands,9643,0.9143420097480037,0.682318377429986,0.9225334732692217,4
pose_guided,test_masked,hands,6059,0.9379435550420862,0.7225039046140475,0.943381870398886,4
spatiotemporal,test_masked,hands,6059,0.9376134675689057,0.7119108268041048,0.9473002227983712,4
skateformer,test_masked,hands,6059,0.9379435550420862,0.7095004384503515,0.9440518077845269,4
hgnet_task_gated_late,test_masked,hands,6059,0.9379435550420862,0.7051688970598733,0.9450440278692606,4
NoOcc,test_masked,hands,6059,0.9300214556857567,0.7050698501660261,0.9437361065292665,4
attention_bias,test_masked,hands,6059,0.9267205809539528,0.7006676808482702,0.9393415404537815,4
hgnet_task_region_scalar_gated_late,test_masked,hands,6059,0.9310117181052979,0.6994622021796213,0.9390049562252651,4
hgnet_explicit_region_scalar_mask_gate,test_masked,hands,6059,0.9255652747978215,0.698676911809235,0.9372702696601275,4
task_gated_late,test_masked,hands,6059,0.9041095890410958,0.6983672134459046,0.9307023762567626,4
dmd_original,test_masked,hands,6138,0.9320625610948191,0.6971842279186918,0.9358918223987681,4
task_region_scalar_gated_late,test_masked,hands,6059,0.8989932332067998,0.6909232494754141,0.9241168635281891,4
dfs,test_masked,hands,6138,0.911860540892799,0.6889110538683709,0.9226441074208154,4
DriveAct,test_masked,hands,6138,0.9146301726946888,0.6876473067722674,0.9225304965678404,4
spatiotemporal,test_clean,talk,9424,0.780241935483871,0.7519441686835737,0.7924127311953402,2
